,skipper,boat,lastName,
573,donald maxwell,bondi,maxwell,243
574,aubrey mayer,usa 1199,mayer,244
575,jack mccarthy,patriot games,mccarthy,245
576,jon mcclean,aretas,mcclean,246
577,seamus mchugh,tquila,mchugh,247
578,seamus mchugh,no dramas,mchugh,247
579,james mchugh,no dramas,mchugh,248
580,james mchugh,anam chara,mchugh,248
581,tim mckegney,usa 1300,mckegney,249
582,reid mclaughlin,make mine a double,mclaughlin,250
583,terry mclaughlin,skanky gene,mclaughlin,251
584,paul mclaughlin,panache,mclaughlin,252
585,paul mclaughlin,usa 1061,mclaughlin,252
586,lawrence mead,freelance,mead,253
587,chris medland,shanghaied,medland,254
588,medland,shanghaied,medland,254
589,connor meedham,mad martha,meedham,255
590,mark mendlebatt,gumption3,mendlebatt,256
591,craig mense,freedom,mense,257
592,craig mense,freedom  (corinthian),mense,257
593,craig mense,usa 1280,mense,257
594,craig mense,usa 1280  (corinthian),mense,257
595,richard merriweather,take 2,merriweather,258
596,gavin michael,usa 1305,michael,136
597,justin miller,riva,miller,260
598,jay mills,usa 1199,mills,261
599,mills,usa 1185,mills,262
600,william mills,usa 199,mills,261
601,chris morgan,usa 1300,morgan,263
602,michael morley,usa youth team white,morley,264
603,michael morley,resolute/ useyt,morley,264
604,david morrell,1094,morrell,265
605,david morrell,voodoo lounge,morrell,265
606,cuyler morris,3 amigos,morris,266
607,morrison,mojo,morrison,267
608,glenn morrison,mojo,morrison,267
609,guy mossman,usa 12,mossman,268
610,eben moulton,black sheep,moulton,269
611,anson mulder,usa 1239,mulder,270
612,jan muysken,african queen,muysken,271
613,terry naglan,hat trick,naglan,272
614,terry naylon,hat trick,naylon,272
615,terry naylor,hat trick,naylor,272
616,mike nccann,lone star,nccann,273
617,connor needham,usa youth team red,needham,274
618,connor needham,us youth team,needham,274
619,connor needham,bad martha,needham,274
620,connor needham,bad martha  (corinthian),needham,274
621,neff,scimitar,neff,275
622,stewart neff,scimitar,neff,275
623,stuart neff,scimitar,neff,275
624,jeff nehms,nemesis,nehms,276
625,jeff nehms,nemesis  (corinthian),nehms,276
626,jeff nehms,nemesis **,nehms,276
627,jeff nehms,chica peligrosa,nehms,276
628,jeff nehms,peligrosa,nehms,276
629,jeff nehms,NA,nehms,276
630,jeff nehms,usa 1307,nehms,276
631,jeff nehms,perezoso,nehms,276
632,jeff nehms,x pipe dream,nehms,276
633,shane o'neill,usa-928,neill,277
634,martin o'neill,ten sixty five,neill,278
635,jim nichols,usa 1203,nichols,279
636,jonathin nye,usa 1212,nye,201
637,jonathan nye,carina,nye,201
638,jonothan nye,carina,nye,201
