"","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper"
"73","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Alexandra Tillinghast / Maru Urban / Daniel Clapo",16,38,18,NA,NA,NA,NA,NA,72,"Dark N'Stormy","USA 1262",NA,NA,NA,"Edward Tillinghast  / Alexandra Tillinghast / Maru Urban"
"74","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Brendan Healy / Reed Baldridge / Eliot Caple",40,21,14,NA,NA,NA,NA,NA,75,"Leading Edge","USA 1090",NA,NA,NA,"Jeff Dever  / Brendan Healy / Reed Baldridge"
"75","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Eric Doyle / Ben Kinney",24,41,11,NA,NA,NA,NA,NA,76,"KGB","USA 979",NA,NA,NA,"Clay Bischoff  / Eric Doyle"
"76","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Fred Stammer / Atlantic Brugman / John Harford",26,19,34,NA,NA,NA,NA,NA,79,"Freedom","USA 1456",NA,NA,NA,"Craig Mense  / Fred Stammer / Atlantic Brugman"
"77","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","William Abbott / Peter Coleman",25,27,27,NA,NA,NA,NA,NA,79,"Clean Execution","USA 1305",NA,NA,NA,"Michael Gavin  / William Abbott"
"78","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Sam Tobio / Frances Schulte / Brooks Daley",32,16,33,NA,NA,NA,NA,NA,81,"USA Youth Team Red","USA 1259",NA,NA,NA,"Sean Cornell  / Sam Tobio / Frances Schulte"
"79","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Chris Morgan / Monica Morgan / Dan Boerrer",39,24,19,NA,NA,NA,NA,NA,82,"USA 1300","USA 1300",NA,NA,NA,"Ernest Pomerleau  / Chris Morgan / Monica Morgan"
"80","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Matt Reid / Tim Thubron",29,34,21,NA,NA,NA,NA,NA,84,"China Wight","GBR 1417",NA,NA,NA,"Nicholas Stagg  / Matt Reid"
"81","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Matt Lalumiere / Stephen Hansel / Olivia O Reilly",34,20,36,NA,NA,NA,NA,NA,90,"Marge","USA 1327",NA,NA,NA,"Todd Lalumiere  / Matt Lalumiere / Stephen Hansel"
"82","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Chuck Norris / Mark Mendelblatt",28,43,25,NA,NA,NA,NA,NA,96,"Gumption3","USA 1465",NA,NA,NA,"Kevin Grainger  / Chuck Norris"
