"","X1","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper","skipper_raw","lastName","id"
"71",71,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Watt Duffy / Dan Peckham",30,29,9,NA,NA,NA,NA,NA,68,"usa 1371","USA 1371",NA,NA,NA,"ken womack","Ken Womack  / Watt Duffy","womack",374
"72",72,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Bill Mauk / Raefel Melendez / Peter Foley",17,17,37,NA,NA,NA,NA,NA,71,"something good","USA 928",NA,NA,NA,"ched proctor","Ched Proctor  / Bill Mauk / Raefel Melendez","proctor",299
"73",73,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Alexandra Tillinghast / Maru Urban / Daniel Clapo",16,38,18,NA,NA,NA,NA,NA,72,"dark n'stormy","USA 1262",NA,NA,NA,"edward tillinghast","Edward Tillinghast  / Alexandra Tillinghast / Maru Urban","tillinghast",357
"74",74,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Brendan Healy / Reed Baldridge / Eliot Caple",40,21,14,NA,NA,NA,NA,NA,75,"leading edge","USA 1090",NA,NA,NA,"jeff dever","Jeff Dever  / Brendan Healy / Reed Baldridge","dever",97
"75",75,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Eric Doyle / Ben Kinney",24,41,11,NA,NA,NA,NA,NA,76,"kgb","USA 979",NA,NA,NA,"clay bischoff","Clay Bischoff  / Eric Doyle","bischoff",34
"76",76,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Fred Stammer / Atlantic Brugman / John Harford",26,19,34,NA,NA,NA,NA,NA,79,"freedom","USA 1456",NA,NA,NA,"craig mense","Craig Mense  / Fred Stammer / Atlantic Brugman","mense",257
"77",77,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","William Abbott / Peter Coleman",25,27,27,NA,NA,NA,NA,NA,79,"clean execution","USA 1305",NA,NA,NA,"michael gavin","Michael Gavin  / William Abbott","gavin",136
"78",78,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Sam Tobio / Frances Schulte / Brooks Daley",32,16,33,NA,NA,NA,NA,NA,81,"usa youth team red","USA 1259",NA,NA,NA,"sean cornell","Sean Cornell  / Sam Tobio / Frances Schulte","cornell",79
"79",79,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Chris Morgan / Monica Morgan / Dan Boerrer",39,24,19,NA,NA,NA,NA,NA,82,"usa 1300","USA 1300",NA,NA,NA,"ernest pomerleau","Ernest Pomerleau  / Chris Morgan / Monica Morgan","pomerleau",298
"80",80,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Matt Reid / Tim Thubron",29,34,21,NA,NA,NA,NA,NA,84,"china wight","GBR 1417",NA,NA,NA,"nicholas stagg","Nicholas Stagg  / Matt Reid","stagg",341
"81",81,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Matt Lalumiere / Stephen Hansel / Olivia O Reilly",34,20,36,NA,NA,NA,NA,NA,90,"marge","USA 1327",NA,NA,NA,"todd lalumiere","Todd Lalumiere  / Matt Lalumiere / Stephen Hansel","lalumiere",217
"82",82,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Chuck Norris / Mark Mendelblatt",28,43,25,NA,NA,NA,NA,NA,96,"gumption3","USA 1465",NA,NA,NA,"kevin grainger","Kevin Grainger  / Chuck Norris","grainger",147
"83",83,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Hugh Grenville / Jason Hill / Bill Colehuwez",34,23,45,NA,NA,NA,NA,NA,102,"hera","USA 1221",NA,NA,NA,"hugh greville","Hugh Greville  / Hugh Grenville / Jason Hill","greville",149
"84",84,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Dave Howard / John Millen",31,45,26,NA,NA,NA,NA,NA,102,"poona racing","USA 1177",NA,NA,NA,"john hele","John Hele  / Dave Howard","hele",162
"85",85,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Tim Banks / Margaux Bacro-Duverger / Ben Childerley",35,39,29,NA,NA,NA,NA,NA,103,"nemesis","USA 1307",NA,NA,NA,"jeff nehms","Jeff Nehms  / Tim Banks / Margaux Bacro-Duverger","nehms",276
"86",86,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Paul Abdullah / Chris Clark",33,35,35,NA,NA,NA,NA,NA,103,"athena","USA 1282",NA,NA,NA,"john donnelly","John Donnelly  / Paul Abdullah","donnelly",101
"87",87,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Scott Thomas / Roger Junet",38,30,38,NA,NA,NA,NA,NA,106,"can't believe its not butter","USA 1224",NA,NA,NA,"richard ketchum","Richard Ketchum  / Scott Thomas","ketchum",338
"88",88,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Bruce Scott / Andrew McRae / Max Beest",37,32,40,NA,NA,NA,NA,NA,109,"proudest monkey","CAN 1010",NA,NA,NA,"andre reese","Andre Reese  / Bruce Scott / Andrew McRae","reese",308
