"","regatta_id","day","raceID","competitorID","competitorName","score","place"
"238",20,2018-10-06,0,"Wentworth Institute of Technology","Wentworth Institute of Technology",121,8
"239",21,2018-11-16,0,"Boston College","Boston College",1,1
"240",21,2018-11-16,0,"Dartmouth College","Dartmouth College",7,7
"241",22,2018-10-13,0,"Boston University","Boston University",257,6
"242",22,2018-10-13,0,"Connecticut College","Connecticut College",343,13
"243",22,2018-10-13,0,"Dartmouth College","Dartmouth College",241,4
"244",22,2018-10-13,0,"Harvard University","Harvard University",196,2
"245",22,2018-10-13,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",395,14
"246",22,2018-10-13,0,"Roger Williams University","Roger Williams University",273,8
"247",22,2018-10-13,0,"Tufts University","Tufts University",285,10
"248",22,2018-10-13,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",268,7
"249",22,2018-10-13,0,"University of Rhode Island","University of Rhode Island",252,5
"250",22,2018-10-13,0,"University of Vermont","University of Vermont",308,11
"251",22,2018-10-13,0,"Yale University","Yale University",277,9
"252",23,2018-10-13,0,"Bowdoin College","Bowdoin College",147,2
"253",23,2018-10-13,0,"Maine Maritime Academy","Maine Maritime Academy",275,6
"254",23,2018-10-13,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",211,4
"255",23,2018-10-13,0,"Middlebury College","Middlebury College",362,9
"256",23,2018-10-13,0,"Northeastern University","Northeastern University",218,5
"257",23,2018-10-13,0,"Tufts University","Tufts University",291,7
"258",23,2018-10-13,0,"University of Vermont","University of Vermont",80,1
"259",24,2018-10-13,0,"Bates College","Bates College",134,6
"260",24,2018-10-13,0,"Fairfield University","Fairfield University",140,7
"261",24,2018-10-13,0,"McGill University","McGill University",71,3
"262",24,2018-10-13,0,"Middlebury College","Middlebury College",167,10
"263",24,2018-10-13,0,"Sacred Heart University","Sacred Heart University",164,9
"264",24,2018-10-13,0,"Salve Regina University","Salve Regina University",42,2
"265",24,2018-10-13,0,"University of Massachusetts at Amherst","University of Massachusetts at Amherst",106,5
"266",24,2018-10-13,0,"University of Vermont","University of Vermont",33,1
"267",24,2018-10-13,0,"Wesleyan University","Wesleyan University",142,8
"268",24,2018-10-13,0,"Yale University","Yale University",104,4
"269",25,2018-10-20,0,"Boston College","Boston College",299,6
"270",25,2018-10-20,0,"Boston University","Boston University",441,17
"271",25,2018-10-20,0,"Bowdoin College","Bowdoin College",275,2
"272",25,2018-10-20,0,"Brown University","Brown University",314,8
"273",25,2018-10-20,0,"Dartmouth College","Dartmouth College",346,13
"274",25,2018-10-20,0,"Harvard University","Harvard University",335,10
"275",25,2018-10-20,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",290,5
"276",25,2018-10-20,0,"Roger Williams University","Roger Williams University",320,9
"277",25,2018-10-20,0,"Tufts University","Tufts University",420,15
"278",25,2018-10-20,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",340,11
"279",25,2018-10-20,0,"Yale University","Yale University",246,1
"280",26,2018-10-20,0,"Connecticut College","Connecticut College",215,6
"281",26,2018-10-20,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",331,15
"282",26,2018-10-20,0,"Northeastern University","Northeastern University",297,11
"283",26,2018-10-20,0,"University of Rhode Island","University of Rhode Island",366,17
"284",26,2018-10-20,0,"University of Vermont","University of Vermont",244,9
"285",27,2018-10-20,0,"Boston College","Boston College",310,4
"286",27,2018-10-20,0,"Boston University","Boston University",219,2
"287",27,2018-10-20,0,"Bowdoin College","Bowdoin College",328,5
"288",27,2018-10-20,0,"Brown University","Brown University",424,10
"289",27,2018-10-20,0,"Connecticut College","Connecticut College",479,15
"290",27,2018-10-20,0,"Dartmouth College","Dartmouth College",368,9
"291",27,2018-10-20,0,"Harvard University","Harvard University",485,16
"292",27,2018-10-20,0,"Maine Maritime Academy","Maine Maritime Academy",602,19
"293",27,2018-10-20,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",462,13
"294",27,2018-10-20,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",578,18
"295",27,2018-10-20,0,"Northeastern University","Northeastern University",335,6
"296",27,2018-10-20,0,"Roger Williams University","Roger Williams University",302,3
"297",27,2018-10-20,0,"Salve Regina University","Salve Regina University",509,17
"298",27,2018-10-20,0,"Tufts University","Tufts University",439,11
"299",27,2018-10-20,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",363,7
"300",27,2018-10-20,0,"University of Massachusetts at Amherst","University of Massachusetts at Amherst",735,20
"301",27,2018-10-20,0,"University of Rhode Island","University of Rhode Island",161,1
"302",27,2018-10-20,0,"University of Vermont","University of Vermont",472,14
"303",27,2018-10-20,0,"Yale University","Yale University",366,8
"304",28,2018-10-20,0,"Fairfield University","Fairfield University",78,5
"305",28,2018-10-20,0,"McGill University","McGill University",123,9
"306",28,2018-10-20,0,"Middlebury College","Middlebury College",147,11
"307",28,2018-10-20,0,"Sacred Heart University","Sacred Heart University",117,7
"308",28,2018-10-20,0,"Salve Regina University","Salve Regina University",64,3
"309",28,2018-10-20,0,"Tufts University","Tufts University",33,1
"310",28,2018-10-20,0,"University of Massachusetts at Amherst","University of Massachusetts at Amherst",75,4
"311",28,2018-10-20,0,"University of Massachusetts at Dartmouth","University of Massachusetts at Dartmouth",146,10
"312",28,2018-10-20,0,"University of Vermont","University of Vermont",44,2
"313",28,2018-10-20,0,"Wentworth Institute of Technology","Wentworth Institute of Technology",108,6
"314",28,2018-10-20,0,"Yale University","Yale University",117,8
"315",29,2018-10-27,0,"Boston College","Boston College",210,7
"316",29,2018-10-27,0,"Boston University","Boston University",268,11
"317",29,2018-10-27,0,"Bowdoin College","Bowdoin College",201,6
"318",29,2018-10-27,0,"Brown University","Brown University",199,5
"319",29,2018-10-27,0,"Connecticut College","Connecticut College",246,9
"320",29,2018-10-27,0,"Dartmouth College","Dartmouth College",165,2
"321",29,2018-10-27,0,"Harvard University","Harvard University",180,3
"322",29,2018-10-27,0,"Maine Maritime Academy","Maine Maritime Academy",448,18
"323",29,2018-10-27,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",260,10
"324",29,2018-10-27,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",379,16
"325",29,2018-10-27,0,"Northeastern University","Northeastern University",359,15
"326",29,2018-10-27,0,"Roger Williams University","Roger Williams University",187,4
"327",29,2018-10-27,0,"Salve Regina University","Salve Regina University",394,17
"328",29,2018-10-27,0,"Tufts University","Tufts University",232,8
"329",29,2018-10-27,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",297,13
"330",29,2018-10-27,0,"University of Rhode Island","University of Rhode Island",280,12
"331",29,2018-10-27,0,"University of Vermont","University of Vermont",344,14
"332",29,2018-10-27,0,"Yale University","Yale University",147,1
"333",30,2018-10-27,0,"Bates College","Bates College",79,1
"334",30,2018-10-27,0,"McGill University","McGill University",87,2
"335",30,2018-10-27,0,"Middlebury College","Middlebury College",109,3
"336",30,2018-10-27,0,"University of Massachusetts at Amherst","University of Massachusetts at Amherst",131,4
"337",30,2018-10-27,0,"Wentworth Institute of Technology","Wentworth Institute of Technology",144,5
"338",NA,NA,0,"Emmanuel College","Emmanuel College",NA,NA
"339",NA,NA,0,"Johnson and Wales University","Johnson and Wales University",NA,NA
"340",NA,NA,0,"University of New Hampshire","University of New Hampshire",NA,NA
"341",NA,NA,0,"Wellesley College","Wellesley College",NA,NA
"342",NA,NA,0,"Williams College","Williams College",NA,NA
"343",NA,NA,0,"Worcester Polytechnical Institute","Worcester Polytechnical Institute",NA,NA
